14.5924 	WARNING 	Requested an unavailable screen number - using first available.
20.8295 	EXP 	Created thanks_msg = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Times New Roman', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='thanks_msg', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='norm', win=Window(...), wrapWidth=1.8)
0.0058 	EXP 	instr_msg: autoDraw = True
5.9171 	DATA 	Keypress: space
5.9588 	EXP 	Imported conditions.xlsx as conditions, 12 conditions, 4 params
5.9598 	EXP 	Created sequence: fullRandom, trialTypes=12, nReps=4, seed=None
5.9601 	EXP 	New trial (rep=0, index=0): {'cue': 'images/no_arrow.png', 'target_x': -0.55, 'is_valid': 0, 'corr': 'left'}
5.9662 	EXP 	instr_msg: autoDraw = False
5.9662 	EXP 	cue_stim: ori = 0.0
5.9662 	EXP 	cue_stim: image = 'images/no_arrow.png'
5.9662 	EXP 	fixation: autoDraw = True
6.7825 	EXP 	cue_stim: autoDraw = True
6.7849 	EXP 	fixation: autoDraw = False
6.9480 	EXP 	target_stim: autoDraw = True
6.9977 	EXP 	cue_stim: autoDraw = False
7.2814 	DATA 	Keypress: left
7.2826 	EXP 	fixation: autoDraw = False
7.2826 	EXP 	cue_stim: autoDraw = False
7.2826 	EXP 	target_stim: autoDraw = False
7.2826 	EXP 	reminder: autoDraw = False
7.2826 	EXP 	feedback_rt: height = 0.12
7.2826 	EXP 	feedback_rt: height = 0.12
7.2826 	EXP 	feedback_rt: height = 0.12
7.2826 	EXP 	feedback_rt: text = 'Tempo de Reação: 312 ms'
7.2826 	EXP 	feedback_rt: autoDraw = True
8.2813 	EXP 	New trial (rep=0, index=1): {'cue': 'images/arrow_left.png', 'target_x': -0.55, 'is_valid': 1, 'corr': 'left'}
8.2978 	EXP 	feedback_rt: autoDraw = False
8.2978 	EXP 	cue_stim: ori = 0.0
8.2978 	EXP 	cue_stim: image = 'images/arrow_left.png'
8.2978 	EXP 	fixation: autoDraw = True
9.0815 	EXP 	cue_stim: autoDraw = True
9.0978 	EXP 	fixation: autoDraw = False
9.2811 	EXP 	cue_stim: autoDraw = False
9.2811 	EXP 	target_stim: autoDraw = True
9.5040 	DATA 	Keypress: left
9.5144 	EXP 	fixation: autoDraw = False
9.5144 	EXP 	cue_stim: autoDraw = False
9.5144 	EXP 	target_stim: autoDraw = False
9.5144 	EXP 	reminder: autoDraw = False
9.5144 	EXP 	feedback_rt: height = 0.12
9.5144 	EXP 	feedback_rt: height = 0.12
9.5144 	EXP 	feedback_rt: height = 0.12
9.5144 	EXP 	feedback_rt: text = 'Tempo de Reação: 211 ms'
9.5144 	EXP 	feedback_rt: autoDraw = True
10.4991 	EXP 	New trial (rep=0, index=2): {'cue': 'images/arrow_right.png', 'target_x': 0.55, 'is_valid': 1, 'corr': 'right'}
10.5146 	EXP 	feedback_rt: autoDraw = False
10.5146 	EXP 	feedback_rt: autoDraw = False
10.5146 	EXP 	cue_stim: ori = 0.0
10.5146 	EXP 	cue_stim: image = 'images/arrow_right.png'
10.5146 	EXP 	fixation: autoDraw = True
11.3145 	EXP 	fixation: autoDraw = False
11.3145 	EXP 	cue_stim: autoDraw = True
11.5144 	EXP 	cue_stim: autoDraw = False
11.5144 	EXP 	target_stim: autoDraw = True
11.7915 	DATA 	Keypress: right
11.7975 	EXP 	fixation: autoDraw = False
11.7975 	EXP 	cue_stim: autoDraw = False
11.7975 	EXP 	target_stim: autoDraw = False
11.7975 	EXP 	reminder: autoDraw = False
11.7975 	EXP 	feedback_rt: height = 0.12
11.7975 	EXP 	feedback_rt: height = 0.12
11.7975 	EXP 	feedback_rt: height = 0.12
11.7975 	EXP 	feedback_rt: text = 'Tempo de Reação: 257 ms'
11.7975 	EXP 	feedback_rt: autoDraw = True
12.7822 	EXP 	New trial (rep=0, index=3): {'cue': 'images/arrow_left.png', 'target_x': -0.55, 'is_valid': 1, 'corr': 'left'}
12.7977 	EXP 	feedback_rt: autoDraw = False
12.7977 	EXP 	feedback_rt: autoDraw = False
12.7977 	EXP 	cue_stim: ori = 0.0
12.7977 	EXP 	cue_stim: image = 'images/arrow_left.png'
12.7977 	EXP 	fixation: autoDraw = True
13.5976 	EXP 	fixation: autoDraw = False
13.5976 	EXP 	cue_stim: autoDraw = True
13.7977 	EXP 	cue_stim: autoDraw = False
13.7977 	EXP 	target_stim: autoDraw = True
14.0371 	DATA 	Keypress: left
14.0476 	EXP 	fixation: autoDraw = False
14.0476 	EXP 	cue_stim: autoDraw = False
14.0476 	EXP 	target_stim: autoDraw = False
14.0476 	EXP 	reminder: autoDraw = False
14.0476 	EXP 	feedback_rt: height = 0.12
14.0476 	EXP 	feedback_rt: height = 0.12
14.0476 	EXP 	feedback_rt: height = 0.12
14.0476 	EXP 	feedback_rt: text = 'Tempo de Reação: 222 ms'
14.0476 	EXP 	feedback_rt: autoDraw = True
15.0320 	EXP 	New trial (rep=0, index=4): {'cue': 'images/arrow_left.png', 'target_x': -0.55, 'is_valid': 1, 'corr': 'left'}
15.0476 	EXP 	feedback_rt: autoDraw = False
15.0476 	EXP 	feedback_rt: autoDraw = False
15.0476 	EXP 	cue_stim: ori = 0.0
15.0476 	EXP 	cue_stim: image = 'images/arrow_left.png'
15.0476 	EXP 	fixation: autoDraw = True
15.8477 	EXP 	fixation: autoDraw = False
15.8477 	EXP 	cue_stim: autoDraw = True
16.0480 	EXP 	cue_stim: autoDraw = False
16.0480 	EXP 	target_stim: autoDraw = True
16.3062 	DATA 	Keypress: left
16.3142 	EXP 	fixation: autoDraw = False
16.3142 	EXP 	cue_stim: autoDraw = False
16.3142 	EXP 	target_stim: autoDraw = False
16.3142 	EXP 	reminder: autoDraw = False
16.3142 	EXP 	feedback_rt: height = 0.12
16.3142 	EXP 	feedback_rt: height = 0.12
16.3142 	EXP 	feedback_rt: height = 0.12
16.3142 	EXP 	feedback_rt: text = 'Tempo de Reação: 244 ms'
16.3142 	EXP 	feedback_rt: autoDraw = True
17.2983 	EXP 	New trial (rep=0, index=5): {'cue': 'images/arrow_left.png', 'target_x': 0.55, 'is_valid': -1, 'corr': 'right'}
17.3149 	EXP 	feedback_rt: autoDraw = False
17.3149 	EXP 	feedback_rt: autoDraw = False
17.3149 	EXP 	cue_stim: ori = 0.0
17.3149 	EXP 	cue_stim: image = 'images/arrow_left.png'
17.3149 	EXP 	fixation: autoDraw = True
18.1142 	EXP 	fixation: autoDraw = False
18.1142 	EXP 	cue_stim: autoDraw = True
18.3142 	EXP 	cue_stim: autoDraw = False
18.3142 	EXP 	target_stim: autoDraw = True
18.5217 	DATA 	Keypress: left
18.5305 	EXP 	fixation: autoDraw = False
18.5305 	EXP 	cue_stim: autoDraw = False
18.5305 	EXP 	target_stim: autoDraw = False
18.5305 	EXP 	reminder: autoDraw = False
18.5305 	EXP 	feedback_rt: height = 0.12
18.5305 	EXP 	feedback_rt: height = 0.12
18.5305 	EXP 	feedback_rt: height = 0.12
18.5305 	EXP 	feedback_rt: text = 'Tempo de Reação: 187 ms'
18.5305 	EXP 	feedback_rt: autoDraw = True
19.5153 	EXP 	New trial (rep=0, index=6): {'cue': 'images/arrow_right.png', 'target_x': 0.55, 'is_valid': 1, 'corr': 'right'}
19.5308 	EXP 	feedback_rt: autoDraw = False
19.5308 	EXP 	feedback_rt: autoDraw = False
19.5308 	EXP 	cue_stim: ori = 0.0
19.5308 	EXP 	cue_stim: image = 'images/arrow_right.png'
19.5308 	EXP 	fixation: autoDraw = True
20.3314 	EXP 	fixation: autoDraw = False
20.3314 	EXP 	cue_stim: autoDraw = True
20.5306 	EXP 	cue_stim: autoDraw = False
20.5306 	EXP 	target_stim: autoDraw = True
20.8192 	DATA 	Keypress: right
20.8304 	EXP 	fixation: autoDraw = False
20.8304 	EXP 	cue_stim: autoDraw = False
20.8304 	EXP 	target_stim: autoDraw = False
