cue,target_x,is_valid,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instruction.started,instr_msg.started,instr_resp.started,instruction.stopped,trial.started,fixation.started,cue_stim.started,fixation.stopped,target_stim.started,resp.started,cue_stim.stopped,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback_rt.started,feedback.stopped,reminder.started,feedback_rt.stopped,finish.started,valid_mean,invalid_mean,neutral_mean,thanks_msg.started,thanks_resp.started,finish.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.020983800292015076,0.03464200021699071,0.03464200021699071,35.542339799925685,,,,,,,,,,,,,,,,,,,,,,,,,Relâmpago Marquin,001,2024-11-08_15h31.40.519,posner,2024.1.5,None,2024-11-08 15h32.06.435596 -0300,
images/no_arrow.png,-0.55,0,left,0,0,0,10,35.58214810024947,,,,,,35.56561500020325,35.58214810024947,36.40467509999871,36.41629429999739,36.55057270033285,36.55057270033285,36.616112099960446,37.31970850005746,left,1,0.7562985001131892,None,37.3208922999911,37.34874360030517,38.33754240022972,,,,,,,,,,Relâmpago Marquin,001,2024-11-08_15h31.40.519,posner,2024.1.5,None,2024-11-08 15h32.06.435596 -0300,
images/arrow_left.png,-0.55,1,left,0,1,1,0,38.36506130034104,,,,,,38.33778770035133,38.36506130034104,39.132440300192684,39.165611300151795,39.33216780005023,39.33216780005023,39.33216780005023,40.57199290022254,left,1,1.2306625000201166,None,40.572444200050086,40.598383400123566,41.58616750035435,,,,,,,,,,Relâmpago Marquin,001,2024-11-08_15h31.40.519,posner,2024.1.5,None,2024-11-08 15h32.06.435596 -0300,
images/arrow_left.png,-0.55,1,left,0,2,2,3,41.59982699993998,,,,,,41.58639470022172,41.59982699993998,42.382501100189984,42.3988451003097,42.582391700241715,42.582391700241715,42.582391700241715,51.83802520018071,left,1,9.252413399983197,None,51.838352400343865,51.864590000361204,52.85238870000467,45.58238260028884,,,,,,,,,Relâmpago Marquin,001,2024-11-08_15h31.40.519,posner,2024.1.5,None,2024-11-08 15h32.06.435596 -0300,
images/arrow_right.png,0.55,1,right,0,3,3,6,52.88215159997344,,,,,,52.85266390023753,52.88215159997344,53.64959469996393,53.68194540031254,53.8487782003358,53.8487782003358,53.86506950017065,58.01822949992493,right,1,4.154289599973708,None,58.01851879991591,58.03095370018855,59.018148700241,56.848641000222415,59.03125810017809,,,,,,,,Relâmpago Marquin,001,2024-11-08_15h31.40.519,posner,2024.1.5,None,2024-11-08 15h32.06.435596 -0300,
images/arrow_right.png,-0.55,-1,left,0,4,4,9,59.03125810017809,,,,,,59.01841980032623,59.03125810017809,59.83174580009654,59.83174580009654,60.031414499972016,60.031414499972016,60.031414499972016,68.58470509992912,left,1,8.546975099947304,None,68.58499610004947,68.59739160025492,69.58428029995412,63.03118079993874,69.59742650017142,,,,,,,,Relâmpago Marquin,001,2024-11-08_15h31.40.519,posner,2024.1.5,None,2024-11-08 15h32.06.435596 -0300,
images/arrow_left.png,-0.55,1,left,0,5,5,2,69.59742650017142,,,,,,69.58458309993148,69.59742650017142,70.39741950016469,70.39741950016469,70.59737680014223,70.59737680014223,70.59737680014223,73.38421180006117,left,1,2.782306999899447,None,73.38450750010088,73.39712020009756,74.38393530016765,,74.39722480019554,,,,,,,,Relâmpago Marquin,001,2024-11-08_15h31.40.519,posner,2024.1.5,None,2024-11-08 15h32.06.435596 -0300,
images/arrow_right.png,0.55,1,right,0,6,6,5,74.39722480019554,,,,,,74.38423630036414,74.39722480019554,75.19730290025473,75.19730290025473,75.39836500026286,75.39836500026286,75.39836500026286,79.35058289999142,right,1,3.9406472998671234,None,79.3508728002198,79.36338560003787,80.35028239991516,78.39689810015261,80.36429430032149,,,,,,,,Relâmpago Marquin,001,2024-11-08_15h31.40.519,posner,2024.1.5,None,2024-11-08 15h32.06.435596 -0300,
images/arrow_left.png,0.55,-1,right,0,7,7,4,80.36429430032149,,,,,,80.35056770034134,80.36429430032149,81.16345049999654,81.16345049999654,81.36364200012758,81.36364200012758,81.36364200012758,84.6001641000621,right,1,3.2309186002239585,None,84.60151519998908,84.62930790008977,85.6167165003717,84.36362519999966,,,,,,,,,Relâmpago Marquin,001,2024-11-08_15h31.40.519,posner,2024.1.5,None,2024-11-08 15h32.06.435596 -0300,
images/arrow_left.png,-0.55,1,left,0,8,8,1,85.62989840004593,,,,,,85.61694580037147,85.62989840004593,86.4143249001354,86.43002980016172,86.61362980026752,86.61362980026752,86.61362980026752,89.65534160006791,left,1,3.02918880013749,None,89.65585809992626,89.68150550033897,90.66970550036058,89.61585299996659,,,,,,,,,Relâmpago Marquin,001,2024-11-08_15h31.40.519,posner,2024.1.5,None,2024-11-08 15h32.06.435596 -0300,
images/arrow_right.png,0.55,1,right,0,9,9,8,90.69690919993445,,,,,,90.67078540008515,90.69690919993445,91.46472530020401,91.49671650025994,91.66305840015411,91.66305840015411,91.66305840015411,94.18409400014207,right,1,2.508052899967879,None,94.18445780035108,94.1966254003346,95.18469450017437,,,,,,,,,,Relâmpago Marquin,001,2024-11-08_15h31.40.519,posner,2024.1.5,None,2024-11-08 15h32.06.435596 -0300,
