cue,target_x,is_valid,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instruction.started,instr_msg.started,instr_resp.started,instruction.stopped,trial.started,fixation.started,cue_stim.started,fixation.stopped,target_stim.started,resp.started,cue_stim.stopped,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback_rt.started,feedback.stopped,feedback_rt.stopped,finish.started,valid_mean,invalid_mean,neutral_mean,thanks_msg.started,thanks_resp.started,finish.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.0021089999936521053,0.005775699857622385,0.005775699857622385,5.940083099994808,,,,,,,,,,,,,,,,,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/no_arrow.png,-0.55,0,left,0,0,0,10,5.966248299926519,,,,,,5.960085799917579,5.966248299926519,6.782530600205064,6.784876899793744,6.947982199955732,6.947982199955732,6.997686100192368,7.266084599774331,left,1,0.3122757002711296,None,7.266725900117308,7.282579299993813,8.280937599949539,,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/arrow_left.png,-0.55,1,left,0,1,1,1,8.297798399813473,,,,,,8.281276300083846,8.297798399813473,9.08149590017274,9.097823500167578,9.281062399968505,9.281062399968505,9.281062399968505,9.498881100211293,left,1,0.21161150000989437,None,9.499309500213712,9.514432299882174,10.498625699896365,10.514645399991423,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/arrow_right.png,0.55,1,right,0,2,2,5,10.514645399991423,,,,,,10.499104800168425,10.514645399991423,11.314469899982214,11.314469899982214,11.514393500052392,11.514393500052392,11.514393500052392,11.782825599890202,right,1,0.2574116000905633,None,11.783250099979341,11.797530500218272,12.78188019990921,12.797740899957716,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/arrow_left.png,-0.55,1,left,0,3,3,0,12.797740899957716,,,,,,12.782239499967545,12.797740899957716,13.597606400027871,13.597606400027871,13.79766790010035,13.79766790010035,13.79766790010035,14.032401099801064,left,1,0.22267469996586442,None,14.032739600166678,14.047551299910992,15.03173749987036,15.047594899777323,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/arrow_left.png,-0.55,1,left,0,4,4,0,15.047594899777323,,,,,,15.03200969984755,15.047594899777323,15.847721199970692,15.847721199970692,16.048001099843532,16.048001099843532,16.048001099843532,16.29894209979102,left,1,0.244675200432539,None,16.29935109987855,16.314222500193864,17.29802400013432,17.31486319983378,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/arrow_left.png,0.55,-1,right,0,5,5,4,17.31486319983378,,,,,,17.298327600117773,17.31486319983378,18.114221499767154,18.114221499767154,18.314247800037265,18.314247800037265,18.314247800037265,18.515024700202048,left,0,0.1870663003064692,None,18.51538270013407,18.53054350009188,19.514923499897122,19.530772199854255,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/arrow_right.png,0.55,1,right,0,6,6,5,19.530772199854255,,,,,,19.515287599992007,19.530772199854255,20.331372200045735,20.331372200045735,20.530604400206357,20.530604400206357,20.530604400206357,20.814565199892968,right,1,0.27314320020377636,None,20.81492150016129,20.830441299825907,21.81484240014106,21.83071199990809,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/arrow_left.png,-0.55,1,left,0,7,7,3,21.83071199990809,,,,,,21.81528959982097,21.83071199990809,22.630409699864686,22.630409699864686,22.83023539977148,22.83023539977148,22.83023539977148,23.08287419984117,left,1,0.24686289997771382,None,23.083267000038177,23.09701139992103,24.08098360011354,24.097765299957246,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
images/arrow_right.png,0.55,1,right,0,8,8,6,24.097765299957246,,,,,,24.081383800134063,24.097765299957246,24.89670420018956,24.913211400154978,25.096992599777877,25.096992599777877,25.096992599777877,25.348436600062996,right,1,0.2345973001793027,None,25.34887250000611,25.363291299901903,26.347148300148547,26.363281900063157,,,,,,,,Relâmpago Marquin,001,2024-11-08_14h53.46.775,posner,2024.1.5,None,2024-11-08 14h53.58.476916 -0300,
