portuguese,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr_msg.started,instr_resp.started,word.started,participant,session,date,expName,psychopyVersion,frameRate,
palavra2,0,0,0,1,15.331385700032115,15.331385700032115,75.66016359999776,,001,2022-11-12_16h13.45.223,aula_038,2022.2.1,61.3083947270031,
,,,,,,,80.62242490006611,,,,,,,
