blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,thisRow.t,notes,welcome.started,welcome_msg.started,welcome_resp.started,welcome.stopped,instruction.started,instr_msg.started,instr_resp.started,Nome Completo,total_blocks,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.019839399959892035,0.11073319986462593,0.11073319986462593,10.525968099944293,,,,Marcos,10,2024-11-07_12h00.02.492,two-digit-number-comparison-task,2024.1.5,None,2024-11-07 12h00.27.424281 -0300,
,,,,10.643323299940675,,,,,,10.530040699988604,10.643323299940675,10.643323299940675,,,,,,,,
