condition	palavra	math	math_resp	list_name	probe_item	item_condition	corr_ans	initial_instructions.thisRepN	initial_instructions.thisTrialN	initial_instructions.thisN	initial_instructions.thisIndex	list_choice.thisRepN	list_choice.thisTrialN	list_choice.thisN	list_choice.thisIndex	study_phase.thisRepN	study_phase.thisTrialN	study_phase.thisN	study_phase.thisIndex	distractor_trial_instructions.thisRepN	distractor_trial_instructions.thisTrialN	distractor_trial_instructions.thisN	distractor_trial_instructions.thisIndex	distractor_phase.thisRepN	distractor_phase.thisTrialN	distractor_phase.thisN	distractor_phase.thisIndex	test_trial_instructions.thisRepN	test_trial_instructions.thisTrialN	test_trial_instructions.thisN	test_trial_instructions.thisIndex	test_phase.thisRepN	test_phase.thisTrialN	test_phase.thisN	test_phase.thisIndex	instructions_msg.started	instructions_msg.stopped	spacebar_msg.started	spacebar_msg.stopped	word.started	word.stopped	math_trial.started	math_trial.stopped	math_trial_resp.keys	math_trial_resp.corr	math_trial_resp.started	math_trial_resp.stopped	fixation_cross.started	fixation_cross.stopped	general_instruction.started	general_instruction.stopped	test_trial_word.started	test_trial_word.stopped	test_trial_resp.keys	test_trial_resp.corr	test_trial_resp.rt	test_trial_resp.started	test_trial_resp.stopped	end.started	end.stopped	participant	session	date	expName	psychopyVersion	frameRate
rei	monarquia											0	8	8	9	0	7	7	7																					215.9617756	214.990186																					1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
rei	majestade											0	8	8	9	0	8	8	8																					217.4516049	216.4799538																					1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
rei	soberano											0	8	8	9	0	9	9	9																					218.9413727	217.9705362																					1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
rei	império											0	8	8	9	0	10	10	10																					220.4309607	219.4594532																					1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
rei	nobreza											0	8	8	9	0	11	11	11																					221.9207914	220.9489242																					1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
rei	palácio											0	8	8	9	0	12	12	12																					223.4105154	222.4396071																					1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
rei	dono											0	8	8	9	0	13	13	13																					224.9003557	223.9293394																					1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
rei	líder											0	8	8	9	0	14	14	14																					226.3887351	225.4181442																					1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
carro	transporte											0	9	9	4	0	0	0	0																					227.9130183	226.9420786																					1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
carro	velocidade											0	9	9	4	0	1	1	1																					229.402624	228.4320256																					1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
carro	motor											0	9	9	4	0	2	2	2																					230.892595	229.9203256																					1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
carro	locomoção											0	9	9	4	0	3	3	3																					232.3823505	231.4115236																					1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
carro	rodas											0	9	9	4	0	4	4	4																					233.8716491	232.899892																					1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
carro	viagem											0	9	9	4	0	5	5	5																					235.361053	234.3894355																					1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
carro	pneu											0	9	9	4	0	6	6	6																					236.8508892	235.8801526																					1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
carro	status											0	9	9	4	0	7	7	7																					238.3405688	237.368835																					1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
carro	automóvel											0	9	9	4	0	8	8	8																					239.8302504	238.8594714																					1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
carro	necessidade											0	9	9	4	0	9	9	9																					241.3201496	240.3481545																					1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
carro	estrada											0	9	9	4	0	10	10	10																					242.80936	241.8391082																					1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
carro	novo											0	9	9	4	0	11	11	11																					244.2996182	243.3281859																					1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
carro	direção											0	9	9	4	0	12	12	12																					245.7887075	244.8179524																					1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
carro	rápido											0	9	9	4	0	13	13	13																					247.2784534	246.3067538																					1	2021_Mar_13_1203	paradigma_drm_simplificado	2020.2.2	29.91517118
