leftori,rightori,same,corrAns,angle,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr_txt_1.started,instr_key_1.started,instr_key_1.keys,instr_key_1.rt,image_L_3.started,image_R_3.started,instr_txt_2.started,instr_key_2.started,mini_pause_2.started,mini_pause_2.stopped,image_L.started,image_R.started,response.started,main_instr.started,trial_count.started,response.keys,response.corr,response.rt,mini_pause.started,mini_pause.stopped,end_txt.started,end_key.started,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,18.78795839999657,18.78795839999657,m,0.8294480000040494,,,,,,,,,,,,,,,,,,,001,davi,2022-12-31_01h23.27.650,MentalRot,2022.2.1,59.72317115754307,
0,90,n,n,90,0,0,0,4,,,,,19.725366899998335,19.725366899998335,19.725366899998335,19.725366899998335,20.224489399995946,21.747701499996765,21.747701499996765,21.747701499996765,21.747701499996765,21.747701499996765,21.747701499996765,n,1,0.8767743999997037,22.640581799998472,23.14874669999699,,,001,davi,2022-12-31_01h23.27.650,MentalRot,2022.2.1,59.72317115754307,
0,0,n,n,0,0,1,1,0,,,,,,,,,,,23.14874669999699,23.14874669999699,23.14874669999699,23.14874669999699,23.14874669999699,n,1,0.5798992000054568,23.75717319999967,24.267591599993466,,,001,davi,2022-12-31_01h23.27.650,MentalRot,2022.2.1,59.72317115754307,
0,315,y,m,315,0,2,2,15,,,,,,,,,,,24.267591599993466,24.267591599993466,24.267591599993466,24.267591599993466,24.267591599993466,m,1,0.5093328000075417,24.807723999998416,25.314719199996034,,,001,davi,2022-12-31_01h23.27.650,MentalRot,2022.2.1,59.72317115754307,
0,225,y,m,225,0,3,3,11,,,,,,,,,,,25.314719199996034,25.314719199996034,25.314719199996034,25.314719199996034,25.314719199996034,m,1,0.6310528000030899,25.973760499997297,26.481498199995258,,,001,davi,2022-12-31_01h23.27.650,MentalRot,2022.2.1,59.72317115754307,
0,135,y,m,135,0,4,4,7,,,,,,,,,,,26.481498199995258,26.481498199995258,26.481498199995258,26.481498199995258,26.481498199995258,m,1,0.5678685000020778,27.074094099996728,27.58135379999294,,,001,davi,2022-12-31_01h23.27.650,MentalRot,2022.2.1,59.72317115754307,
0,180,y,m,180,0,5,5,9,,,,,,,,,,,27.58135379999294,27.58135379999294,27.58135379999294,27.58135379999294,27.58135379999294,m,1,0.5630701000045519,28.174169599995366,28.68214729999454,,,001,davi,2022-12-31_01h23.27.650,MentalRot,2022.2.1,59.72317115754307,
0,270,y,m,270,0,6,6,13,,,,,,,,,,,28.68214729999454,28.68214729999454,28.68214729999454,28.68214729999454,28.68214729999454,m,1,0.5103688000017428,29.223692699997628,29.73739669999486,,,001,davi,2022-12-31_01h23.27.650,MentalRot,2022.2.1,59.72317115754307,
0,90,y,m,90,0,7,7,5,,,,,,,,,,,29.73739669999486,29.73739669999486,29.73739669999486,29.73739669999486,29.73739669999486,m,1,0.5270173000026261,30.290223699994385,30.798374299993156,,,001,davi,2022-12-31_01h23.27.650,MentalRot,2022.2.1,59.72317115754307,
0,225,n,n,225,0,8,8,10,,,,,,,,,,,30.798374299993156,30.798374299993156,30.798374299993156,30.798374299993156,30.798374299993156,n,1,0.7383597000007285,31.55690979999781,32.067173499999626,,,001,davi,2022-12-31_01h23.27.650,MentalRot,2022.2.1,59.72317115754307,
0,0,y,m,0,0,9,9,1,,,,,,,,,,,32.067173499999626,32.067173499999626,32.067173499999626,32.067173499999626,32.067173499999626,m,1,0.4054078999979538,32.4903137999936,32.9980035999979,,,001,davi,2022-12-31_01h23.27.650,MentalRot,2022.2.1,59.72317115754307,
0,270,n,n,270,0,10,10,12,,,,,,,,,,,32.9980035999979,32.9980035999979,32.9980035999979,32.9980035999979,32.9980035999979,n,1,0.6427298999988125,33.65686049999931,34.1619561999978,,,001,davi,2022-12-31_01h23.27.650,MentalRot,2022.2.1,59.72317115754307,
0,135,n,n,135,0,11,11,6,,,,,,,,,,,34.1619561999978,34.1619561999978,34.1619561999978,34.1619561999978,34.1619561999978,n,1,0.6306569000007585,34.823259599994344,35.326770699997724,,,001,davi,2022-12-31_01h23.27.650,MentalRot,2022.2.1,59.72317115754307,
0,45,y,m,45,0,12,12,3,,,,,,,,,,,35.326770699997724,35.326770699997724,35.326770699997724,35.326770699997724,35.326770699997724,m,1,0.5460171000013361,35.8897222999949,36.39009819999774,,,001,davi,2022-12-31_01h23.27.650,MentalRot,2022.2.1,59.72317115754307,
0,180,n,n,180,0,13,13,8,,,,,,,,,,,36.39009819999774,36.39009819999774,36.39009819999774,36.39009819999774,36.39009819999774,n,1,0.7300474000003305,37.14058149999619,37.64197169999534,,,001,davi,2022-12-31_01h23.27.650,MentalRot,2022.2.1,59.72317115754307,
0,45,n,n,45,0,14,14,2,,,,,,,,,,,37.64197169999534,37.64197169999534,37.64197169999534,37.64197169999534,37.64197169999534,n,1,0.5032117000009748,38.173366699993494,38.68087669999659,,,001,davi,2022-12-31_01h23.27.650,MentalRot,2022.2.1,59.72317115754307,
0,315,n,n,315,0,15,15,14,,,,,,,,,,,38.68087669999659,38.68087669999659,38.68087669999659,38.68087669999659,38.68087669999659,n,1,0.86436450000474,39.5736151999954,40.07938649999414,,,001,davi,2022-12-31_01h23.27.650,MentalRot,2022.2.1,59.72317115754307,
0,45,y,m,45,1,0,16,3,,,,,,,,,,,40.07938649999414,40.07938649999414,40.07938649999414,40.07938649999414,40.07938649999414,m,1,0.47354210000048624,40.573306799997226,41.08160219999991,,,001,davi,2022-12-31_01h23.27.650,MentalRot,2022.2.1,59.72317115754307,
0,180,n,n,180,1,1,17,8,,,,,,,,,,,41.08160219999991,41.08160219999991,41.08160219999991,41.08160219999991,41.08160219999991,n,1,0.7505795000033686,41.8565998999984,42.36518879999494,,,001,davi,2022-12-31_01h23.27.650,MentalRot,2022.2.1,59.72317115754307,
