leftori,rightori,same,corrAns,angle,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr_txt_1.started,instr_key_1.started,instr_key_1.keys,instr_key_1.rt,image_L_3.started,image_R_3.started,instr_txt_2.started,instr_key_2.started,mini_pause_2.started,mini_pause_2.stopped,image_L.started,image_R.started,response.started,main_instr.started,trial_count.started,response.keys,response.corr,response.rt,mini_pause.started,mini_pause.stopped,end_txt.started,end_key.started,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,34.616792700006044,34.616792700006044,m,0.9630553999886615,,,,,,,,,,,,,,,,,,,001,kily,2022-12-31_09h19.34.502,MentalRot,2022.2.1,60.47521423150257,
0,90,y,m,90,0,0,0,5,,,,,35.67587259999709,35.67587259999709,35.67587259999709,35.67587259999709,38.23631849999947,39.76333770000201,39.76333770000201,39.76333770000201,39.76333770000201,39.76333770000201,39.76333770000201,m,1,0.9527940999978455,40.73609210000723,41.24303620000137,,,001,kily,2022-12-31_09h19.34.502,MentalRot,2022.2.1,60.47521423150257,
0,315,y,m,315,0,1,1,15,,,,,,,,,,,41.24303620000137,41.24303620000137,41.24303620000137,41.24303620000137,41.24303620000137,m,1,0.5456152999977348,41.81996059999801,42.32046679999621,,,001,kily,2022-12-31_09h19.34.502,MentalRot,2022.2.1,60.47521423150257,
0,225,y,m,225,0,2,2,11,,,,,,,,,,,42.32046679999621,42.32046679999621,42.32046679999621,42.32046679999621,42.32046679999621,m,1,0.6109926999924937,42.953306299998076,43.454473600009806,,,001,kily,2022-12-31_09h19.34.502,MentalRot,2022.2.1,60.47521423150257,
0,270,y,m,270,0,3,3,13,,,,,,,,,,,43.454473600009806,43.454473600009806,43.454473600009806,43.454473600009806,43.454473600009806,m,1,0.5897682999930112,44.06977430000552,44.57798790000379,,,001,kily,2022-12-31_09h19.34.502,MentalRot,2022.2.1,60.47521423150257,
0,45,y,m,45,0,4,4,3,,,,,,,,,,,44.57798790000379,44.57798790000379,44.57798790000379,44.57798790000379,44.57798790000379,m,1,0.4259676999936346,45.03648900000553,45.54795870000089,,,001,kily,2022-12-31_09h19.34.502,MentalRot,2022.2.1,60.47521423150257,
0,270,n,n,270,0,5,5,12,,,,,,,,,,,45.54795870000089,45.54795870000089,45.54795870000089,45.54795870000089,45.54795870000089,n,1,0.8795137999986764,46.453350700001465,46.95989990000089,,,001,kily,2022-12-31_09h19.34.502,MentalRot,2022.2.1,60.47521423150257,
0,90,n,n,90,0,6,6,4,,,,,,,,,,,46.95989990000089,46.95989990000089,46.95989990000089,46.95989990000089,46.95989990000089,m,0,0.9158827000064775,47.90327049999905,48.409350200003246,,,001,kily,2022-12-31_09h19.34.502,MentalRot,2022.2.1,60.47521423150257,
0,315,n,n,315,0,7,7,14,,,,,,,,,,,48.409350200003246,48.409350200003246,48.409350200003246,48.409350200003246,48.409350200003246,m,0,0.8516883000120288,49.28634940000484,49.792588800002704,,,001,kily,2022-12-31_09h19.34.502,MentalRot,2022.2.1,60.47521423150257,
0,135,y,m,135,0,8,8,7,,,,,,,,,,,49.792588800002704,49.792588800002704,49.792588800002704,49.792588800002704,49.792588800002704,m,1,0.6831791000004159,50.50454720000562,,,,001,kily,2022-12-31_09h19.34.502,MentalRot,2022.2.1,60.47521423150257,
0,135,n,n,135,0,9,9,6,,,,,,,,,,,51.020005900005344,51.020005900005344,51.020005900005344,51.020005900005344,51.020005900005344,m,0,0.6961880000017118,51.737137900010566,,,,001,kily,2022-12-31_09h19.34.502,MentalRot,2022.2.1,60.47521423150257,
0,45,n,n,45,0,10,10,2,,,,,,,,,,,52.262059400003636,52.262059400003636,52.262059400003636,52.262059400003636,52.262059400003636,n,1,0.6295324000093387,52.91882479999913,53.42906570000923,,,001,kily,2022-12-31_09h19.34.502,MentalRot,2022.2.1,60.47521423150257,
