current_span,grid_memory_instructions.thisRepN,grid_memory_instructions.thisTrialN,grid_memory_instructions.thisN,grid_memory_instructions.thisIndex,grid_memory_practice_trials.thisRepN,grid_memory_practice_trials.thisTrialN,grid_memory_practice_trials.thisN,grid_memory_practice_trials.thisIndex,grid_memory_practice.thisRepN,grid_memory_practice.thisTrialN,grid_memory_practice.thisN,grid_memory_practice.thisIndex,symmetry_instructions.thisRepN,symmetry_instructions.thisTrialN,symmetry_instructions.thisN,symmetry_instructions.thisIndex,symmetry_practice_trials.thisRepN,symmetry_practice_trials.thisTrialN,symmetry_practice_trials.thisN,symmetry_practice_trials.thisIndex,symspan_training_instructions.thisRepN,symspan_training_instructions.thisTrialN,symspan_training_instructions.thisN,symspan_training_instructions.thisIndex,symspan_training_trials.thisRepN,symspan_training_trials.thisTrialN,symspan_training_trials.thisN,symspan_training_trials.thisIndex,symspan_training_trial.thisRepN,symspan_training_trial.thisTrialN,symspan_training_trial.thisN,symspan_training_trial.thisIndex,symspan_testing_instructions.thisRepN,symspan_testing_instructions.thisTrialN,symspan_testing_instructions.thisN,symspan_testing_instructions.thisIndex,symspan_testing_trials.thisRepN,symspan_testing_trials.thisTrialN,symspan_testing_trials.thisN,symspan_testing_trials.thisIndex,symspan_testing_trial.thisRepN,symspan_testing_trial.thisTrialN,symspan_testing_trial.thisN,symspan_testing_trial.thisIndex,welcome_msg.started,welcome_next.started,welcome_resp.started,participant_code,instr_msg.started,previous.started,next.started,instr_resp.started,prompt_recall.started,A.started,B.started,C.started,D.started,E.started,F.started,G.started,H.started,I.started,J.started,K.started,L.started,M.started,N.started,O.started,P.started,clear_.started,blank.started,send.started,recall_response.started,correct_response,participant_response,full_credit_score,partial_credit_score,edit_distance_score,task_phase,symmetry_trials_correct,symmetry_total_trials,symmetry_percent_correct,recall_response.x,recall_response.y,recall_response.leftButton,recall_response.midButton,recall_response.rightButton,recall_response.time,recall_response.clicked_name,recall_feedback_prompt.started,symmetry_feedback_prompt.started,symmetry_feedback_performance.started,recall_feedback_prompt.stopped,symmetry_feedback_prompt.stopped,symmetry_feedback_performance.stopped,symmetry_prompt.started,continue_.started,symmetry_problem_next.started,symmetry_problem,symmetry_status,symmetry_corr,problem_rt,symmetry_answer_screen.started,yes.started,no.started,symmetry_response.started,answer_rt,symmetry_speed_error,symmetry_accuracy_error,symmetry_participant_corr,symmetry_participant_response,true_feedback.started,false_feedback.started,symmetry_corrective_feedback_msg.started,true_feedback.stopped,false_feedback.stopped,symmetry_corrective_feedback_msg.stopped,symmetry_errors,thanks_prompt.started,thanks_spacebar.started,thanks_resp.started,session_duration,final_full_credit_score,final_partial_credit_score,final_edit_distance_score,ID,Nome Completo,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.55752049991861,106.55752049991861,0.0018915999680757523,images/symm33.jpg,asymmetric,no,1.3330278999637812,107.89150449982844,107.89150449982844,107.89150449982844,5.389982834458351e-05,0.5163138001225889,0,0,1,no,108.40698749991134,108.40698749991134,108.40698749991134,109.40713159996085,109.40713159996085,109.40713159996085,,,,,,,,,350454372,Relâmpago Marquin,2024-10-10_19h06.47.606,symspan,2022.2.1,60.97958833651357,
,,,,,,,,,,,,,,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.40713159996085,109.40713159996085,0.0030308000277727842,images/symm45.jpg,asymmetric,no,0.6184303001500666,110.02568249986507,110.02568249986507,110.02568249986507,4.210020415484905e-05,0.4647421999834478,0,0,1,no,110.49061429989524,110.49061429989524,110.49061429989524,111.4902794000227,111.4902794000227,111.4902794000227,,,,,,,,,350454372,Relâmpago Marquin,2024-10-10_19h06.47.606,symspan,2022.2.1,60.97958833651357,
,,,,,,,,,,,,,,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.4902794000227,111.4902794000227,0.0012074001133441925,images/symm45.jpg,asymmetric,no,0.34950789995491505,111.84010859997943,111.84010859997943,111.84010859997943,4.409998655319214e-05,0.7000865999143571,0,0,1,no,112.54045660002157,112.54045660002157,112.54045660002157,113.53976159985177,113.53976159985177,113.53976159985177,,,,,,,,,350454372,Relâmpago Marquin,2024-10-10_19h06.47.606,symspan,2022.2.1,60.97958833651357,
,,,,,,,,,,,,,,,,,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.53976159985177,113.53976159985177,0.0007664000149816275,images/symm17.jpg,symmetric,yes,1.400964300148189,114.94042789982632,114.94042789982632,114.94042789982632,3.9800070226192474e-05,0.6166778998449445,0,0,1,yes,115.5572832999751,115.5572832999751,115.5572832999751,116.5573926998768,116.5573926998768,116.5573926998768,,,,,,,,,350454372,Relâmpago Marquin,2024-10-10_19h06.47.606,symspan,2022.2.1,60.97958833651357,
,,,,,,,,,,,,,,,,,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.5573926998768,116.5573926998768,0.0009577998425811529,images/symm48.jpg,asymmetric,no,1.618173399940133,118.17442569998093,118.17442569998093,118.17442569998093,3.3700140193104744e-05,0.6998302000574768,0,1,0,yes,118.87392429984175,118.87392429984175,118.87392429984175,119.90607109991834,119.90607109991834,119.90607109991834,,,,,,,,,350454372,Relâmpago Marquin,2024-10-10_19h06.47.606,symspan,2022.2.1,60.97958833651357,
2,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,350454372,120.73886639997363,120.73886639997363,120.73886639997363,0.031942599918693304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.8396739999298,120.8396739999298,0.008471200009807944,images/symm13.jpg,symmetric,yes,1.445013799937442,122.29083309997804,122.29083309997804,122.29083309997804,4.20999713242054e-05,1.0988260000012815,0,0,1,yes,,,,,,,,,,,,,,,350454372,Relâmpago Marquin,2024-10-10_19h06.47.606,symspan,2022.2.1,60.97958833651357,
2,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.3903814998921,125.3903814998921,0.0012737999204546213,images/symm28.jpg,asymmetric,no,3.9821562999859452,,,,,3.520003519952297e-05,1,0,0,,,,,,,,,,,,,,,,350454372,Relâmpago Marquin,2024-10-10_19h06.47.606,symspan,2022.2.1,60.97958833651357,
2,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,131.40810669981875,131.40810669981875,131.40810669981875,131.40810669981875,131.40810669981875,131.40810669981875,131.40810669981875,131.40810669981875,131.40810669981875,131.40810669981875,131.40810669981875,131.40810669981875,131.40810669981875,131.40810669981875,131.40810669981875,131.40810669981875,131.40810669981875,131.40810669981875,131.40810669981875,131.40810669981875,0.038621299900114536,OM,K,0,0,0,symspan_training_trials,14,17,82.35294117647058,"[0.5688888888888889, 0.10666666666666667, 0.46444444444444444]","[-0.81, -0.10333333333333333, -0.7533333333333333]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[4.248134099878371, 4.749324700096622, 5.2178396000526845]","['send', 'K', 'send']",136.68765179999173,136.68765179999173,136.68765179999173,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,350454372,Relâmpago Marquin,2024-10-10_19h06.47.606,symspan,2022.2.1,60.97958833651357,
2,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.63861599983647,138.63861599983647,0.011923500103875995,images/symm43.jpg,asymmetric,no,1.1476360000669956,139.79119029990397,139.79119029990397,139.79119029990397,2.6300083845853806e-05,1.1320942000020295,0,0,1,no,,,,,,,,,,,,,,,350454372,Relâmpago Marquin,2024-10-10_19h06.47.606,symspan,2022.2.1,60.97958833651357,
2,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.92625349992886,142.92625349992886,0.005033800145611167,images/symm25.jpg,asymmetric,no,3.982777199940756,,,,,3.4899916499853134e-05,1,0,0,,,,,,,,,,,,,,,,350454372,Relâmpago Marquin,2024-10-10_19h06.47.606,symspan,2022.2.1,60.97958833651357,
