English,Portuguese,Inupiaq,initial_presentation_cycles.thisRepN,initial_presentation_cycles.thisTrialN,initial_presentation_cycles.thisN,initial_presentation_cycles.thisIndex,initial_presentation_trials.thisRepN,initial_presentation_trials.thisTrialN,initial_presentation_trials.thisN,initial_presentation_trials.thisIndex,practice_phase_blocks.thisRepN,practice_phase_blocks.thisTrialN,practice_phase_blocks.thisN,practice_phase_blocks.thisIndex,practice_phase_cycles.thisRepN,practice_phase_cycles.thisTrialN,practice_phase_cycles.thisN,practice_phase_cycles.thisIndex,practice_phase_trials.thisRepN,practice_phase_trials.thisTrialN,practice_phase_trials.thisN,practice_phase_trials.thisIndex,final_test_trials.thisRepN,final_test_trials.thisTrialN,final_test_trials.thisN,final_test_trials.thisIndex,instr_msg.started,instr_resp.started,instr_resp.keys,instr_resp.rt,distractor_msg.started,instr_msg_2.started,instr_resp_2.started,instr_resp_2.keys,instr_resp_2.rt,cue_practice.started,target_practice.started,resp_practice.started,condition_name.started,Inupiaq_cue,current_condition,resp_practice,instr_msg_3.started,instr_resp_3.started,instr_resp_3.keys,instr_resp_3.rt,cue_final.started,resp_final.started,target_final.started,resp_final,thanks_msg.started,participant,session,date,expName,psychopyVersion,frameRate,
thread,fio,ivalu,,,,,,,,,0,0,0,0,2,0,2,0,0,1,1,3,,,,,,,,,,,,,,94.12552760000017,94.12552760000017,94.12552760000017,94.12552760000017,_ _ _ l u,acumulação,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
rainbow,arco-íris,nigaq,,,,,,,,,0,0,0,0,2,0,2,0,0,2,2,5,,,,,,,,,,,,,,94.89179870000044,94.89179870000044,94.89179870000044,94.89179870000044,n i g a q,somente estudo,xxxxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
heaven,paraíso,qixak,,,,,,,,,0,0,0,0,2,0,2,0,0,3,3,1,,,,,,,,,,,,,,99.14517990000058,99.14517990000058,99.14517990000058,99.14517990000058,_ _ x a k,diminuição,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
mark,marca,aglak,,,,,,,,,0,0,0,0,2,0,2,0,0,4,4,2,,,,,,,,,,,,,,100.39037009999993,100.39037009999993,100.39037009999993,100.39037009999993,a _ l _ _,acumulação,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
snail,lesma,uvixu,,,,,,,,,0,0,0,0,2,0,2,0,0,5,5,4,,,,,,,,,,,,,,101.29636339999979,101.29636339999979,101.29636339999979,101.29636339999979,_ v _ x u,diminuição,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
tea,chá,saiyu,,,,,,,,,0,0,0,0,3,0,3,0,0,0,0,0,,,,,,,,,,,,,,102.1233841000003,102.1233841000003,102.1233841000003,102.1233841000003,s a i y u,somente estudo,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
thread,fio,ivalu,,,,,,,,,0,0,0,0,3,0,3,0,0,1,1,3,,,,,,,,,,,,,,102.92350520000036,102.92350520000036,102.92350520000036,102.92350520000036,_ v _ l u,acumulação,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
rainbow,arco-íris,nigaq,,,,,,,,,0,0,0,0,3,0,3,0,0,2,2,5,,,,,,,,,,,,,,103.73124110000026,103.73124110000026,103.73124110000026,103.73124110000026,n i g a q,somente estudo,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
heaven,paraíso,qixak,,,,,,,,,0,0,0,0,3,0,3,0,0,3,3,1,,,,,,,,,,,,,,104.77720910000062,104.77720910000062,104.77720910000062,104.77720910000062,_ _ x a _,diminuição,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
mark,marca,aglak,,,,,,,,,0,0,0,0,3,0,3,0,0,4,4,2,,,,,,,,,,,,,,105.61052780000045,105.61052780000045,105.61052780000045,105.61052780000045,a _ l _ k,acumulação,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
snail,lesma,uvixu,,,,,,,,,0,0,0,0,3,0,3,0,0,5,5,4,,,,,,,,,,,,,,106.52416059999996,106.52416059999996,106.52416059999996,106.52416059999996,_ _ _ x u,diminuição,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
tea,chá,saiyu,,,,,,,,,0,0,0,0,4,0,4,0,0,0,0,0,,,,,,,,,,,,,,107.36288680000052,107.36288680000052,107.36288680000052,107.36288680000052,s a i y u,somente estudo,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
thread,fio,ivalu,,,,,,,,,0,0,0,0,4,0,4,0,0,1,1,3,,,,,,,,,,,,,,108.23100580000028,108.23100580000028,108.23100580000028,108.23100580000028,_ v a l u,acumulação,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
rainbow,arco-íris,nigaq,,,,,,,,,0,0,0,0,4,0,4,0,0,2,2,5,,,,,,,,,,,,,,109.07695899999999,109.07695899999999,109.07695899999999,109.07695899999999,n i g a q,somente estudo,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
heaven,paraíso,qixak,,,,,,,,,0,0,0,0,4,0,4,0,0,3,3,1,,,,,,,,,,,,,,109.89501430000018,109.89501430000018,109.89501430000018,109.89501430000018,_ _ x _ _,diminuição,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
mark,marca,aglak,,,,,,,,,0,0,0,0,4,0,4,0,0,4,4,2,,,,,,,,,,,,,,110.72351419999995,110.72351419999995,110.72351419999995,110.72351419999995,a _ l a k,acumulação,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
snail,lesma,uvixu,,,,,,,,,0,0,0,0,4,0,4,0,0,5,5,4,,,,,,,,,,,,,,111.5607912000005,111.5607912000005,111.5607912000005,111.5607912000005,_ _ _ x _,diminuição,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
tea,chá,saiyu,,,,,,,,,0,0,0,0,5,0,5,0,0,0,0,0,,,,,,,,,,,,,,112.44498850000036,112.44498850000036,112.44498850000036,112.44498850000036,s a i y u,somente estudo,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
thread,fio,ivalu,,,,,,,,,0,0,0,0,5,0,5,0,0,1,1,3,,,,,,,,,,,,,,113.44332060000033,113.44332060000033,113.44332060000033,113.44332060000033,i v a l u,acumulação,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
rainbow,arco-íris,nigaq,,,,,,,,,0,0,0,0,5,0,5,0,0,2,2,5,,,,,,,,,,,,,,114.34459860000061,114.34459860000061,114.34459860000061,114.34459860000061,n i g a q,somente estudo,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
heaven,paraíso,qixak,,,,,,,,,0,0,0,0,5,0,5,0,0,3,3,1,,,,,,,,,,,,,,115.21134249999977,115.21134249999977,115.21134249999977,115.21134249999977,_ _ _ _ _,diminuição,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
mark,marca,aglak,,,,,,,,,0,0,0,0,5,0,5,0,0,4,4,2,,,,,,,,,,,,,,116.09429520000049,116.09429520000049,116.09429520000049,116.09429520000049,a g l a k,acumulação,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
snail,lesma,uvixu,,,,,,,,,0,0,0,0,5,0,5,0,0,5,5,4,,,,,,,,,,,,,,117.04522850000012,117.04522850000012,117.04522850000012,117.04522850000012,_ _ _ _ _,diminuição,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
boot,bota,kamik,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,117.85655620000034,117.85655620000034,117.85655620000034,117.85655620000034,k a m i k,diminuição,xxxxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
cliff,penhasco,ikpik,,,,,,,,,1,0,1,0,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,119.44456790000004,119.44456790000004,119.44456790000004,119.44456790000004,i k p i k,diminuição,xxxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
dust,pó,apyuq,,,,,,,,,1,0,1,0,0,0,0,0,0,2,2,5,,,,,,,,,,,,,,121.1110606000002,121.1110606000002,121.1110606000002,121.1110606000002,_ _ _ _ _,acumulação,xxxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
duck,pato,mitiq,,,,,,,,,1,0,1,0,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,122.91092000000026,122.91092000000026,122.91092000000026,122.91092000000026,m i t i q,somente estudo,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
sled,trenó,uniat,,,,,,,,,1,0,1,0,0,0,0,0,0,4,4,2,,,,,,,,,,,,,,125.72890900000039,125.72890900000039,125.72890900000039,125.72890900000039,u n i a t,somente estudo,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
kidney,rim,taqtu,,,,,,,,,1,0,1,0,0,0,0,0,0,5,5,4,,,,,,,,,,,,,,126.95625230000041,126.95625230000041,126.95625230000041,126.95625230000041,_ _ _ _ _,acumulação,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
boot,bota,kamik,,,,,,,,,1,0,1,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,128.22227930000008,128.22227930000008,128.22227930000008,128.22227930000008,k _ m i k,diminuição,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
cliff,penhasco,ikpik,,,,,,,,,1,0,1,0,1,0,1,0,0,1,1,3,,,,,,,,,,,,,,129.79364970000006,129.79364970000006,129.79364970000006,129.79364970000006,i k p i _,diminuição,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
dust,pó,apyuq,,,,,,,,,1,0,1,0,1,0,1,0,0,2,2,5,,,,,,,,,,,,,,130.8890263000003,130.8890263000003,130.8890263000003,130.8890263000003,_ _ _ u _,acumulação,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
duck,pato,mitiq,,,,,,,,,1,0,1,0,1,0,1,0,0,3,3,1,,,,,,,,,,,,,,131.71247349999976,131.71247349999976,131.71247349999976,131.71247349999976,m i t i q,somente estudo,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
sled,trenó,uniat,,,,,,,,,1,0,1,0,1,0,1,0,0,4,4,2,,,,,,,,,,,,,,132.5424579999999,132.5424579999999,132.5424579999999,132.5424579999999,u n i a t,somente estudo,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
kidney,rim,taqtu,,,,,,,,,1,0,1,0,1,0,1,0,0,5,5,4,,,,,,,,,,,,,,133.37585219999983,133.37585219999983,133.37585219999983,133.37585219999983,_ a _ _ _,acumulação,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
