English,Portuguese,Inupiaq,initial_presentation_cycles.thisRepN,initial_presentation_cycles.thisTrialN,initial_presentation_cycles.thisN,initial_presentation_cycles.thisIndex,initial_presentation_trials.thisRepN,initial_presentation_trials.thisTrialN,initial_presentation_trials.thisN,initial_presentation_trials.thisIndex,practice_phase_blocks.thisRepN,practice_phase_blocks.thisTrialN,practice_phase_blocks.thisN,practice_phase_blocks.thisIndex,practice_phase_cycles.thisRepN,practice_phase_cycles.thisTrialN,practice_phase_cycles.thisN,practice_phase_cycles.thisIndex,practice_phase_trials.thisRepN,practice_phase_trials.thisTrialN,practice_phase_trials.thisN,practice_phase_trials.thisIndex,final_test_trials.thisRepN,final_test_trials.thisTrialN,final_test_trials.thisN,final_test_trials.thisIndex,instr_msg.started,instr_resp.started,instr_resp.keys,instr_resp.rt,distractor_msg.started,instr_msg_2.started,instr_resp_2.started,instr_resp_2.keys,instr_resp_2.rt,cue_practice.started,target_practice.started,resp_practice.started,condition_name.started,Inupiaq_cue,current_condition,resp_practice,instr_msg_3.started,instr_resp_3.started,instr_resp_3.keys,instr_resp_3.rt,cue_final.started,resp_final.started,target_final.started,resp_final,thanks_msg.started,participant,session,date,expName,psychopyVersion,frameRate,
kidney,rim,taqtu,,,,,,,,,1,0,1,0,4,0,4,0,0,5,5,4,,,,,,,,,,,,,,151.7422443000005,151.7422443000005,151.7422443000005,151.7422443000005,t a _ t u,acumulação,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
boot,bota,kamik,,,,,,,,,1,0,1,0,5,0,5,0,0,0,0,0,,,,,,,,,,,,,,152.68780179999976,152.68780179999976,152.68780179999976,152.68780179999976,_ _ _ _ _,diminuição,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
cliff,penhasco,ikpik,,,,,,,,,1,0,1,0,5,0,5,0,0,1,1,3,,,,,,,,,,,,,,154.12723330000063,154.12723330000063,154.12723330000063,154.12723330000063,_ _ _ _ _,diminuição,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
dust,pó,apyuq,,,,,,,,,1,0,1,0,5,0,5,0,0,2,2,5,,,,,,,,,,,,,,155.25785570000062,155.25785570000062,155.25785570000062,155.25785570000062,a p y u q,acumulação,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
duck,pato,mitiq,,,,,,,,,1,0,1,0,5,0,5,0,0,3,3,1,,,,,,,,,,,,,,156.1417833000005,156.1417833000005,156.1417833000005,156.1417833000005,m i t i q,somente estudo,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
sled,trenó,uniat,,,,,,,,,1,0,1,0,5,0,5,0,0,4,4,2,,,,,,,,,,,,,,157.1543074000001,157.1543074000001,157.1543074000001,157.1543074000001,u n i a t,somente estudo,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
kidney,rim,taqtu,,,,,,,,,1,0,1,0,5,0,5,0,0,5,5,4,,,,,,,,,,,,,,158.28780319999987,158.28780319999987,158.28780319999987,158.28780319999987,t a q t u,acumulação,xxxxx,,,,,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.8427810000003,,,,,,,,,,,,175.85777560000042,175.85777560000042,space,2.772037200000341,,,,,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
sled,trenó,uniat,,,,,,,,,,,,,,,,,,,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,178.70738299999994,178.70738299999994,178.70738299999994,xxxxx,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
dust,pó,apyuq,,,,,,,,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,180.2455933000001,180.2455933000001,180.2455933000001,xxxxx,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
mark,marca,aglak,,,,,,,,,,,,,,,,,,,,,0,2,2,6,,,,,,,,,,,,,,,,,,,,,181.57503950000046,181.57503950000046,181.57503950000046,xxxxx,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
duck,pato,mitiq,,,,,,,,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,182.54293980000057,182.54293980000057,182.54293980000057,xxxxx,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
rainbow,arco-íris,nigaq,,,,,,,,,,,,,,,,,,,,,0,4,4,7,,,,,,,,,,,,,,,,,,,,,183.98642800000016,183.98642800000016,183.98642800000016,xxxxx,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
heaven,paraíso,qixak,,,,,,,,,,,,,,,,,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,184.90720340000007,184.90720340000007,184.90720340000007,xxxxx,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
snail,lesma,uvixu,,,,,,,,,,,,,,,,,,,,,0,6,6,9,,,,,,,,,,,,,,,,,,,,,185.90655340000012,185.90655340000012,185.90655340000012,xxxxx,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
kidney,rim,taqtu,,,,,,,,,,,,,,,,,,,,,0,7,7,5,,,,,,,,,,,,,,,,,,,,,187.04063660000065,187.04063660000065,187.04063660000065,xxxxx,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
tea,chá,saiyu,,,,,,,,,,,,,,,,,,,,,0,8,8,10,,,,,,,,,,,,,,,,,,,,,188.3071786999999,188.3071786999999,188.3071786999999,xxxxx,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
cliff,penhasco,ikpik,,,,,,,,,,,,,,,,,,,,,0,9,9,1,,,,,,,,,,,,,,,,,,,,,189.1900727000002,189.1900727000002,189.1900727000002,xxxxx,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
thread,fio,ivalu,,,,,,,,,,,,,,,,,,,,,0,10,10,11,,,,,,,,,,,,,,,,,,,,,190.08716400000048,190.08716400000048,190.08716400000048,xxxxx,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
boot,bota,kamik,,,,,,,,,,,,,,,,,,,,,0,11,11,0,,,,,,,,,,,,,,,,,,,,,191.1072350000004,191.1072350000004,191.1072350000004,xxxxx,,,001,2022-07-26_10h59.41.382,finley_et_al,2022.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.17437640000026,,,,,,,
