English,Portuguese,Inupiaq,initial_presentation_cycles.thisRepN,initial_presentation_cycles.thisTrialN,initial_presentation_cycles.thisN,initial_presentation_cycles.thisIndex,initial_presentation_trials.thisRepN,initial_presentation_trials.thisTrialN,initial_presentation_trials.thisN,initial_presentation_trials.thisIndex,practice_phase_blocks.thisRepN,practice_phase_blocks.thisTrialN,practice_phase_blocks.thisN,practice_phase_blocks.thisIndex,practice_phase_cycles.thisRepN,practice_phase_cycles.thisTrialN,practice_phase_cycles.thisN,practice_phase_cycles.thisIndex,practice_phase_trials.thisRepN,practice_phase_trials.thisTrialN,practice_phase_trials.thisN,practice_phase_trials.thisIndex,instr_msg.started,instr_resp.started,instr_resp.keys,instr_resp.rt,cue_practice.started,target_practice.started,key_practice.started,condition_name.started,key_practice.keys,key_practice.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,17.283587499999157,17.283587499999157,space,0.8029505000004065,,,,,,,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
snail,lesma,uvixu,0,0,0,0,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
mark,marca,aglak,0,0,0,0,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
heaven,paraíso,qixak,0,0,0,0,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
boot,bota,kamik,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
kidney,rim,taqtu,0,0,0,0,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
duck,pato,mitiq,0,0,0,0,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
tea,chá,saiyu,0,0,0,0,0,6,6,10,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
thread,fio,ivalu,0,0,0,0,0,7,7,11,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
sled,trenó,uniat,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.54.969,finley_et_al,2022.2.1,60.79193655781299,
