English,Portuguese,Inupiaq,initial_presentation_cycles.thisRepN,initial_presentation_cycles.thisTrialN,initial_presentation_cycles.thisN,initial_presentation_cycles.thisIndex,initial_presentation_trials.thisRepN,initial_presentation_trials.thisTrialN,initial_presentation_trials.thisN,initial_presentation_trials.thisIndex,practice_phase_blocks.thisRepN,practice_phase_blocks.thisTrialN,practice_phase_blocks.thisN,practice_phase_blocks.thisIndex,practice_phase_cycles.thisRepN,practice_phase_cycles.thisTrialN,practice_phase_cycles.thisN,practice_phase_cycles.thisIndex,practice_phase_trials.thisRepN,practice_phase_trials.thisTrialN,practice_phase_trials.thisN,practice_phase_trials.thisIndex,final_test_trials.thisRepN,final_test_trials.thisTrialN,final_test_trials.thisN,final_test_trials.thisIndex,instr_msg.started,instr_resp.started,instr_resp.keys,instr_resp.rt,cue_practice.started,target_practice.started,key_practice.started,condition_name.started,key_practice.keys,key_practice.rt,cue_final.started,target_final.started,key_final.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,19.73241550000057,19.73241550000057,space,13.512364799998977,,,,,,,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
heaven,paraíso,qixak,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
sled,trenó,uniat,0,0,0,0,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
tea,chá,saiyu,0,0,0,0,0,2,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
boot,bota,kamik,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
rainbow,arco-íris,nigaq,0,0,0,0,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
duck,pato,mitiq,0,0,0,0,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
snail,lesma,uvixu,0,0,0,0,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
dust,pó,apyuq,0,0,0,0,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
cliff,penhasco,ikpik,0,0,0,0,0,8,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
kidney,rim,taqtu,0,0,0,0,0,9,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h36.04.735,finley_et_al,2022.2.1,60.069440272752665,
