English,Portuguese,Inupiaq,initial_presentation_cycles.thisRepN,initial_presentation_cycles.thisTrialN,initial_presentation_cycles.thisN,initial_presentation_cycles.thisIndex,initial_presentation_trials.thisRepN,initial_presentation_trials.thisTrialN,initial_presentation_trials.thisN,initial_presentation_trials.thisIndex,practice_phase_blocks.thisRepN,practice_phase_blocks.thisTrialN,practice_phase_blocks.thisN,practice_phase_blocks.thisIndex,practice_phase_cycles.thisRepN,practice_phase_cycles.thisTrialN,practice_phase_cycles.thisN,practice_phase_cycles.thisIndex,practice_phase_trials.thisRepN,practice_phase_trials.thisTrialN,practice_phase_trials.thisN,practice_phase_trials.thisIndex,instr_msg.started,instr_resp.started,instr_resp.keys,instr_resp.rt,cue_practice.started,target_practice.started,key_practice.started,condition_name.started,key_practice.keys,key_practice.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,15.369106799999827,15.369106799999827,space,2.306486400000722,,,,,,,,001,2022-07-22_11h39.47.942,finley_et_al,2022.2.1,59.76682570633094,
snail,lesma,uvixu,0,0,0,0,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h39.47.942,finley_et_al,2022.2.1,59.76682570633094,
sled,trenó,uniat,0,0,0,0,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h39.47.942,finley_et_al,2022.2.1,59.76682570633094,
mark,marca,aglak,0,0,0,0,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h39.47.942,finley_et_al,2022.2.1,59.76682570633094,
kidney,rim,taqtu,0,0,0,0,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h39.47.942,finley_et_al,2022.2.1,59.76682570633094,
cliff,penhasco,ikpik,0,0,0,0,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h39.47.942,finley_et_al,2022.2.1,59.76682570633094,
tea,chá,saiyu,0,0,0,0,0,5,5,10,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h39.47.942,finley_et_al,2022.2.1,59.76682570633094,
boot,bota,kamik,0,0,0,0,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h39.47.942,finley_et_al,2022.2.1,59.76682570633094,
thread,fio,ivalu,0,0,0,0,0,7,7,11,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h39.47.942,finley_et_al,2022.2.1,59.76682570633094,
heaven,paraíso,qixak,0,0,0,0,0,8,8,4,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h39.47.942,finley_et_al,2022.2.1,59.76682570633094,
