English,Portuguese,Inupiaq,initial_presentation_cycles.thisRepN,initial_presentation_cycles.thisTrialN,initial_presentation_cycles.thisN,initial_presentation_cycles.thisIndex,initial_presentation_trials.thisRepN,initial_presentation_trials.thisTrialN,initial_presentation_trials.thisN,initial_presentation_trials.thisIndex,practice_phase_blocks.thisRepN,practice_phase_blocks.thisTrialN,practice_phase_blocks.thisN,practice_phase_blocks.thisIndex,practice_phase_cycles.thisRepN,practice_phase_cycles.thisTrialN,practice_phase_cycles.thisN,practice_phase_cycles.thisIndex,practice_phase_trials.thisRepN,practice_phase_trials.thisTrialN,practice_phase_trials.thisN,practice_phase_trials.thisIndex,instr_msg.started,instr_resp.started,instr_resp.keys,instr_resp.rt,cue_practice.started,target_practice.started,key_practice.started,condition_name.started,key_practice.keys,key_practice.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,49.995906600000126,49.995906600000126,space,1.7659249999996973,,,,,,,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
cliff,penhasco,ikpik,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
kidney,rim,taqtu,0,0,0,0,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
boot,bota,kamik,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
heaven,paraíso,qixak,0,0,0,0,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
tea,chá,saiyu,0,0,0,0,0,4,4,10,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
duck,pato,mitiq,0,0,0,0,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
thread,fio,ivalu,0,0,0,0,0,6,6,11,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
dust,pó,apyuq,0,0,0,0,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
snail,lesma,uvixu,0,0,0,0,0,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-22_11h06.00.415,finley_et_al,2022.2.1,59.664482747588906,
