current_span,arrow_memory_instructions.thisRepN,arrow_memory_instructions.thisTrialN,arrow_memory_instructions.thisN,arrow_memory_instructions.thisIndex,arrow_memory_practice_trials.thisRepN,arrow_memory_practice_trials.thisTrialN,arrow_memory_practice_trials.thisN,arrow_memory_practice_trials.thisIndex,arrow_memory_practice.thisRepN,arrow_memory_practice.thisTrialN,arrow_memory_practice.thisN,arrow_memory_practice.thisIndex,rotation_instructions.thisRepN,rotation_instructions.thisTrialN,rotation_instructions.thisN,rotation_instructions.thisIndex,rotation_practice_trials.thisRepN,rotation_practice_trials.thisTrialN,rotation_practice_trials.thisN,rotation_practice_trials.thisIndex,rotspan_training_instructions.thisRepN,rotspan_training_instructions.thisTrialN,rotspan_training_instructions.thisN,rotspan_training_instructions.thisIndex,rotspan_training_trials.thisRepN,rotspan_training_trials.thisTrialN,rotspan_training_trials.thisN,rotspan_training_trials.thisIndex,rotspan_training_trial.thisRepN,rotspan_training_trial.thisTrialN,rotspan_training_trial.thisN,rotspan_training_trial.thisIndex,rotspan_testing_instructions.thisRepN,rotspan_testing_instructions.thisTrialN,rotspan_testing_instructions.thisN,rotspan_testing_instructions.thisIndex,rotspan_testing_trials.thisRepN,rotspan_testing_trials.thisTrialN,rotspan_testing_trials.thisN,rotspan_testing_trials.thisIndex,rotspan_testing_trial.thisRepN,rotspan_testing_trial.thisTrialN,rotspan_testing_trial.thisN,rotspan_testing_trial.thisIndex,thisRow.t,notes,welcome.started,welcome_msg.started,welcome_next.started,welcome_resp.started,welcome.stopped,participant_code,instruction.started,instr_msg.started,previous.started,next.started,instr_resp.started,instruction.stopped,arrow_memory.started,arrow.started,arrow.stopped,arrow_memory.stopped,recall.started,prompt_recall.started,A.started,B.started,C.started,D.started,E.started,F.started,G.started,H.started,I.started,J.started,K.started,L.started,M.started,N.started,O.started,P.started,clear_.started,blank.started,send.started,square.started,recall_response.started,recall.stopped,correct_response,participant_response,full_credit_score,partial_credit_score,edit_distance_score,task_phase,rotationtrials_correct,rotation_total_trials,rotation_percent_correct,recall_response.x,recall_response.y,recall_response.leftButton,recall_response.midButton,recall_response.rightButton,recall_response.time,recall_response.corr,recall_response.clicked_name,recall_feedback.started,recall_feedback_prompt.started,rotation_feedback_prompt.started,rotation_feedback_performance.started,recall_feedback.stopped,recall_feedback_prompt.stopped,rotation_feedback_prompt.stopped,rotation_feedback_performance.stopped,rotation.started,rotation_prompt.started,continue_.started,symmetry_problem_next.started,rotation_problem.started,rotation.stopped,rotation_letter,rotation_orientation,rotation_flip,rotation_corr,problem_rt,rotation_answer.started,rotation_answer_screen.started,yes.started,no.started,rotation_response.started,rotation_answer.stopped,answer_rt,rotation_speed_error,rotation_accuracy_error,rotation_participant_corr,rotation_problem,rotation_status,rotation_participant_response,rotation_answer_feedback.started,true_feedback.started,false_feedback.started,rotation_corrective_feedback_msg.started,rotation_answer_feedback.stopped,true_feedback.stopped,false_feedback.stopped,rotation_corrective_feedback_msg.stopped,rotation_errors,ID,Nome Completo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,122.7457156998571,,,,,,,000541668,122.15430479985662,122.19473039987497,122.19473039987497,122.19473039987497,0.024165499955415726,122.7177165998146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.71888229995966,122.7457156998571,122.7457156998571,0.00654580001719296,122.7457156998571,133.09808689984493,F,135,False,False,10.379213600186631,133.0981230000034,133.1136582000181,133.1136582000181,133.1136582000181,3.4300144761800766e-05,134.6510715999175,1.5529589999932796,0,0,1,F,135,yes,134.65115990000777,134.67981019988656,134.67981019988656,134.67981019988656,135.66406059986912,,,,,000541668,Relâmpago Marquin,2024-10-13_19h00.30.749,rotspan,2024.1.5,None,2024-10-13 19h07.03.494959 -0300,
,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,135.68016729992814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.6643156998325,135.68016729992814,135.68016729992814,0.016283599892631173,135.68016729992814,145.19732179981656,R,90,True,True,9.5330182001926,145.197358999867,145.21317629981786,145.21317629981786,145.21317629981786,3.1400006264448166e-05,146.11695229983889,0.9196166999172419,0,0,1,R,90,no,146.11704859999008,146.12733759987168,146.12733759987168,146.12733759987168,147.11664639995433,147.1419102998916,147.1419102998916,147.1419102998916,,000541668,Relâmpago Marquin,2024-10-13_19h00.30.749,rotspan,2024.1.5,None,2024-10-13 19h07.03.494959 -0300,
,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,147.1419102998916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.11695109982975,147.1419102998916,147.1419102998916,0.004116500029340386,147.1419102998916,148.3839896998834,G,315,False,False,1.267051300033927,148.3840273998212,148.3938183998689,148.3938183998689,148.3938183998689,3.290013410151005e-05,149.3973463999573,1.0133279000874609,0,0,1,G,315,yes,149.39742930000648,149.41337900003418,149.41337900003418,149.41337900003418,150.4161306999158,,,,,000541668,Relâmpago Marquin,2024-10-13_19h00.30.749,rotspan,2024.1.5,None,2024-10-13 19h07.03.494959 -0300,
,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,150.42717819986865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.41641910001636,150.42717819986865,150.42717819986865,0.019100199919193983,150.42717819986865,151.7630862998776,G,135,False,False,1.3466759999282658,151.76312160003,151.77861309982836,151.77861309982836,151.77861309982836,3.25001310557127e-05,152.2968368998263,0.5337227999698371,0,0,1,G,135,yes,152.29691449995153,152.31195380003192,152.31195380003192,152.31195380003192,153.3156610999722,,,,,000541668,Relâmpago Marquin,2024-10-13_19h00.30.749,rotspan,2024.1.5,None,2024-10-13 19h07.03.494959 -0300,
,,,,,,,,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,153.32617769995704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.31594419991598,153.32617769995704,153.32617769995704,0.02085049985907972,153.32617769995704,155.2494216999039,F,135,True,True,1.9334984000306576,155.24948979984038,155.259785000002,155.259785000002,155.259785000002,4.930002614855766e-05,156.14910249994136,0.899613399989903,0,0,1,F,135,no,156.14918039995246,156.15930259996094,156.15930259996094,156.15930259996094,157.1491217999719,157.15934609994292,157.15934609994292,157.15934609994292,,000541668,Relâmpago Marquin,2024-10-13_19h00.30.749,rotspan,2024.1.5,None,2024-10-13 19h07.03.494959 -0300,
,,,,,,,,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,157.15934609994292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.14939389983192,157.15934609994292,157.15934609994292,0.001896000001579523,157.15934609994292,160.51653499994427,G,135,True,True,3.36715539987199,160.51657259999774,160.52655959990807,160.52655959990807,160.52655959990807,3.310013562440872e-05,162.1971312998794,1.6805650000460446,0,1,0,G,135,yes,162.1972065998707,162.22580059990287,162.22580059990287,162.22580059990287,163.21305399993435,,,,,000541668,Relâmpago Marquin,2024-10-13_19h00.30.749,rotspan,2024.1.5,None,2024-10-13 19h07.03.494959 -0300,
,,,,,,,,,,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,163.2266304998193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.21340789995156,163.2266304998193,163.2266304998193,0.018689800053834915,163.2266304998193,164.7662282998208,R,90,True,True,1.5528456000611186,164.76628819992766,164.78049489995465,164.78049489995465,164.78049489995465,4.5900000259280205e-05,165.81476609990932,1.048485399922356,0,1,0,R,90,yes,165.81487769982778,165.8269231999293,165.8269231999293,165.8269231999293,166.8304868999403,,,,,000541668,Relâmpago Marquin,2024-10-13_19h00.30.749,rotspan,2024.1.5,None,2024-10-13 19h07.03.494959 -0300,
,,,,,,,,,,,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,166.84592549991794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.83076649997383,166.84592549991794,166.84592549991794,0.015990399988368154,166.84592549991794,169.4629164999351,R,315,False,False,2.632162000052631,169.46295129996724,169.474777800031,169.474777800031,169.474777800031,3.1400006264448166e-05,170.56345899985172,1.1005269000306726,0,1,0,R,315,no,170.56358899991028,170.57960059982724,170.57960059982724,170.57960059982724,171.58159549999982,,,,,000541668,Relâmpago Marquin,2024-10-13_19h00.30.749,rotspan,2024.1.5,None,2024-10-13 19h07.03.494959 -0300,
,,,,,,,,,,,,,,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,171.59257319988683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.58193049998954,171.59257319988683,171.59257319988683,0.018449600087478757,171.59257319988683,173.05307549983263,R,45,False,False,1.4711651999969035,173.05312209995463,173.0735359999817,173.0735359999817,173.0735359999817,4.160008393228054e-05,173.71579639986157,0.6626828000880778,0,0,1,R,45,yes,173.71587980003096,173.7402138998732,173.7402138998732,173.7402138998732,174.71620419993997,,,,,000541668,Relâmpago Marquin,2024-10-13_19h00.30.749,rotspan,2024.1.5,None,2024-10-13 19h07.03.494959 -0300,
,,,,,,,,,,,,,,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,174.72692409995943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.7168572000228,174.72692409995943,174.72692409995943,0.0011289999820291996,174.72692409995943,176.1160216999706,R,45,True,True,1.3991715998854488,176.11606010003015,176.12627739994787,176.12627739994787,176.12627739994787,3.3700140193104744e-05,176.98193579982035,0.8658845999743789,0,0,1,R,45,no,176.98202409991063,176.9926298998762,176.9926298998762,176.9926298998762,177.9823312999215,,,,,000541668,Relâmpago Marquin,2024-10-13_19h00.30.749,rotspan,2024.1.5,None,2024-10-13 19h07.03.494959 -0300,
